BADC_120h_rep1_(010925)	BADC_120h_rep2_(091025)	BADC_120h_rep3_(100825)	wt_120h_rep2_(091025)	wt_120h_rep1_(010925)	wt_120h_rep3_(100825)	BADC_120h_rep4_(180324)	BADC_120h_rep5_(230324)	wt_120h_rep5_(230324)	wt_120h_rep4_(Cynthia)
327.869101123595	416.31797752809	592.853370786517		352.555617977528	696.679213483146	802.09			
369.9	478.680898876405	615.606179775281		464.510112359551	678.004494382022	792.50625			
338.919101123595	629.25393258427			430.969101123596	660.537640449438	719.72			
284.227528089888	454.270786516854			463.525280898876	780.561797752809	789.79375			
309.937640449438	470.008988764045			491.610112359551	640.439887640449	775.64375			
344.710674157303	565.723595505618			532.272471910112	828.732584269663	694.08375			
430.385393258427	487.27808988764			525.829775280899	641.669662921348	684.685			
422.34606741573	611.192134831461			515.434831460674	805.219662921348	581.47625			
438.450561797753	687.867415730337			511.842134831461	635.905056179775	765.63875			
386.36404494382	569.169662921348			470.988202247191	733.707303370786	752.7425			
312.818539325843	661.012359550562			540.694943820225	856.51404494382	876.8125			
341.052808988764	613.493258426966			545.8	803.855617977528	953.97625			
367.159550561798	601.285393258427			513.6	712.301123595506	875.79875			
379.839887640449	665.36797752809			521.076404494382	758.888764044944	880.045			
392.889325842697	610.701685393258			623.336516853933	702.062921348315	865.605			
357.109550561798	662.990449438202			499.728651685393	736.320224719101	788.8925			
427.912359550562	638.341011235955			570.674157303371		861.7775			
366.729775280899	705.352808988764					883.44375			
360.172471910112	712.415168539326					884.07625			
391.406179775281	536.914606741573					969.49			
503.776404494382						751.995			
						801.9725			
						966.45625			
