"Pseudotime","Genotype","Motif_name","Score","P_value"
"(0.6,0.65]","BADC","ARR1",NA,"1e-58"
"(0.6,0.65]","BADC","CRZ1",NA,"1e-52"
"(0.6,0.65]","BADC","Tb_0251(RRM)/Trypanosoma_brucei-RNCMPT00251-PBM/HughesRNA",0.656,"1e-51"
"(0.6,0.65]","BADC","HNRNPK(KH)/Homo_sapiens-RNCMPT00026-PBM/HughesRNA",0.67,"1e-50"
"(0.6,0.65]","BADC","SF2(RRM)/Drosophila_melanogaster-RNCMPT00066-PBM/HughesRNA",0.737,"1e-50"
"(0.6,0.65]","BADC","AtHB32(ZFHD)/col200-AtHB32-DAP-Seq(GSE60143)/Homer",0.754,"1e-47"
"(0.6,0.65]","BADC","SP5/MA1965.2/Jaspar",0.711,"1e-47"
"(0.6,0.65]","BADC","GSM1/MA0308.2/Jaspar",0.802,"1e-44"
"(0.6,0.65]","BADC","ttk/dmmpmm(Pollard)/fly",0.647,"1e-43"
"(0.6,0.65]","BADC","prd/dmmpmm(SeSiMCMC)/fly",0.679,"1e-42"
"(0.6,0.65]","BADC","BAS1/MA0278.2/Jaspar",0.71,"1e-39"
"(0.6,0.65]","BADC","IKZF2/MA2326.1/Jaspar",0.747,"1e-35"
"(0.6,0.65]","BADC","GCM1/MA0646.2/Jaspar",0.696,"1e-34"
"(0.6,0.65]","BADC","Vdr/MA0693.4/Jaspar",0.744,"1e-31"
"(0.6,0.65]","BADC","Poxm/MA2263.1/Jaspar",0.706,"1e-31"
"(0.6,0.65]","BADC","PB0041.1_Mafb_1/Jaspar",0.784,"1e-31"
"(0.6,0.65]","BADC","AtGRF6(GRF)/col-AtGRF6-DAP-Seq(GSE60143)/Homer",0.817,"1e-29"
"(0.6,0.65]","BADC","Su(H)/dmmpmm(Papatsenko)/fly",0.778,"1e-27"
"(0.6,0.65]","BADC","Sox11/MA0869.3/Jaspar",0.814,"1e-27"
"(0.6,0.65]","BADC","PFI1695c(RRM)/Plasmodium_falciparum-RNCMPT00203-PBM/HughesRNA",0.723,"1e-25"
"(0.6,0.65]","BADC","elt-7/MA2133.1/Jaspar",0.723,"1e-22"
"(0.6,0.65]","BADC","PKNOX1/MA0782.3/Jaspar",0.647,"1e-20"
"(0.6,0.65]","BADC","YAP5",NA,"1e-18"
"(0.6,0.65]","BADC","ZNF707/MA1715.1/Jaspar",0.678,"1e-15"
"(0.6,0.65]","BADC","HAC1/Literature(Harbison)/Yeast",0.837,"1e-14"
"(0.6,0.65]","BADC","TCF7/MA0769.3/Jaspar",0.841,"1e-14"
"(0.6,0.65]","BADC","TDA9/MA0431.2/Jaspar",0.79,"1e-14"
"(0.6,0.65]","BADC","TOD6?/SacCer-Promoters/Homer",0.717,"1e-13"
"(0.6,0.65]","BADC","PCF/Arabidopsis-Promoters/Homer",0.682,"1e-10"
"(0.6,0.65]","BADC","tin/dmmpmm(Papatsenko)/fly",0.758,"1e-9"
"(0.6,0.65]","BADC","Spz1/MA0111.1/Jaspar",0.71,"1e-2"
"(0.6,0.65]","BADC","Six4/MA0204.1/Jaspar",0.728,"1e-1"
"(0.6,0.65]","BADC","PCBP1(KH)/Mus_musculus-RNCMPT00239-PBM/HughesRNA",0.799,"1e0"
"(0.6,0.65]","wt","TBX3/MA1566.3/Jaspar",0.961,"1e-99"
"(0.6,0.65]","wt","WRKY22(WRKY)/colamp-WRKY22-DAP-Seq(GSE60143)/Homer",0.722,"1e-75"
"(0.6,0.65]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.814,"1e-67"
"(0.6,0.65]","wt","SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220)/Homer",0.674,"1e-62"
"(0.6,0.65]","wt","PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)/Homer",0.711,"1e-56"
"(0.6,0.65]","wt","GSM1/MA0308.2/Jaspar",0.755,"1e-55"
"(0.6,0.65]","wt","PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer",0.73,"1e-51"
"(0.6,0.65]","wt","PRDM1/MA0508.4/Jaspar",0.783,"1e-51"
"(0.6,0.65]","wt","PB0181.1_Spdef_2/Jaspar",0.64,"1e-49"
"(0.6,0.65]","wt","RELB/MA1117.2/Jaspar",0.687,"1e-47"
"(0.6,0.65]","wt","TFAP2A/MA0810.2/Jaspar",0.698,"1e-43"
"(0.6,0.65]","wt","FEZF2/MA2341.1/Jaspar",0.799,"1e-42"
"(0.6,0.65]","wt","Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer",0.759,"1e-40"
"(0.6,0.65]","wt","M1BP/MA1459.2/Jaspar",0.712,"1e-37"
"(0.6,0.65]","wt","ZmbZIP72/MA2412.1/Jaspar",0.706,"1e-37"
"(0.6,0.65]","wt","DREB1E/MA0978.1/Jaspar",0.662,"1e-31"
"(0.6,0.65]","wt","PFI1695c(RRM)/Plasmodium_falciparum-RNCMPT00203-PBM/HughesRNA",0.73,"1e-31"
"(0.6,0.65]","wt","BZIP42/MA1350.1/Jaspar",0.761,"1e-24"
"(0.6,0.65]","wt","PB0061.1_Sox11_1/Jaspar",0.82,"1e-22"
"(0.6,0.65]","wt","PB0200.1_Zfp187_2/Jaspar",0.666,"1e-21"
"(0.6,0.65]","wt","TFAP2A/MA0003.5/Jaspar",0.749,"1e-19"
"(0.6,0.65]","wt","YPR015C/MA0435.2/Jaspar",0.725,"1e-19"
"(0.6,0.65]","wt","LIN28A(CSD,Znf)/Homo_sapiens-RNCMPT00036-PBM/HughesRNA",0.652,"1e-16"
"(0.6,0.65]","wt","At5g05790(MYBrelated)/col-At5g05790-DAP-Seq(GSE60143)/Homer",0.949,"1e-16"
"(0.6,0.65]","wt","ASR3/MA1733.2/Jaspar",0.749,"1e-15"
"(0.6,0.65]","wt","RBM6(RRM)/Homo_sapiens-RNCMPT00170-PBM/HughesRNA",0.775,"1e-12"
"(0.6,0.65]","wt","MSN4",NA,"1e-8"
"(0.6,0.65]","wt","BCL11A/MA2324.1/Jaspar",0.832,"1e-4"
"(0.65,0.7]","BADC","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.979,"1e-92"
"(0.65,0.7]","BADC","Tbx6/MA1567.3/Jaspar",0.863,"1e-20"
"(0.65,0.7]","BADC","RLR1",NA,"1e-12"
"(0.65,0.7]","BADC","Zfp335/MA2002.2/Jaspar",0.726,"1e-12"
"(0.65,0.7]","BADC","Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer",0.724,"1e-11"
"(0.65,0.7]","BADC","HuR(RRM)/Homo_sapiens-RNCMPT00112-PBM/HughesRNA",0.767,"1e-11"
"(0.65,0.7]","BADC","PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer",0.769,"1e-10"
"(0.65,0.7]","BADC","Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019)/Homer",0.743,"1e-10"
"(0.65,0.7]","BADC","Nr2f6/MA0677.2/Jaspar",0.716,"1e-9"
"(0.65,0.7]","BADC","FoxL1/MA2235.1/Jaspar",0.817,"1e-9"
"(0.65,0.7]","BADC","Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)/Homer",0.896,"1e-8"
"(0.65,0.7]","BADC","ZCRB1(RRM)/Homo_sapiens-RNCMPT00087-PBM/HughesRNA",0.635,"1e-8"
"(0.65,0.7]","BADC","KHDRBS3(KH)/Homo_sapiens-RNCMPT00034-PBM/HughesRNA",0.916,"1e-8"
"(0.65,0.7]","BADC","CRZ1",NA,"1e-7"
"(0.65,0.7]","BADC","Nr2e3/MA0164.2/Jaspar",0.815,"1e-6"
"(0.65,0.7]","BADC","Stat2/MA1623.2/Jaspar",0.772,"1e-5"
"(0.65,0.7]","BADC","SREBF2/MA0596.1/Jaspar",0.66,"1e-4"
"(0.65,0.7]","BADC","ZNF189/MA1725.2/Jaspar",0.806,"1e-4"
"(0.65,0.7]","BADC","SF1(KH)/Drosophila_melanogaster-RNCMPT00065-PBM/HughesRNA",0.863,"1e-4"
"(0.65,0.7]","BADC","Ptf1A/MA1618.2/Jaspar",0.698,"1e-1"
"(0.65,0.7]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.992,"1e-106"
"(0.65,0.7]","wt","tbx-37/MA2185.1/Jaspar",0.879,"1e-17"
"(0.65,0.7]","wt","Eomes(T-box)/H9-Eomes-ChIP-Seq(GSE26097)/Homer",0.794,"1e-13"
"(0.65,0.7]","wt","LMI1(HB)/colamp-LMI1-DAP-Seq(GSE60143)/Homer",0.707,"1e-12"
"(0.65,0.7]","wt","CG11617/dmmpmm(Noyes_hd)/fly",0.785,"1e-11"
"(0.65,0.7]","wt","TEAD1(TEAD)/HepG2-TEAD1-ChIP-Seq(Encode)/Homer",0.691,"1e-10"
"(0.65,0.7]","wt","ZNF189/MA1725.2/Jaspar",0.742,"1e-8"
"(0.65,0.7]","wt","Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer",0.805,"1e-8"
"(0.65,0.7]","wt","MYB3R1/MA1178.3/Jaspar",0.68,"1e-8"
"(0.65,0.7]","wt","Ikzf3/MA1992.2/Jaspar",0.79,"1e-8"
"(0.65,0.7]","wt","ASH1/Literature(Harbison)/Yeast",0.812,"1e-7"
"(0.65,0.7]","wt","Rhox11/MA0629.2/Jaspar",0.826,"1e-7"
"(0.65,0.7]","wt","Zic3/MA0697.3/Jaspar",0.718,"1e-6"
"(0.65,0.7]","wt","ZNF331/MA1726.2/Jaspar",0.645,"1e-6"
"(0.7,0.75]","BADC","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.945,"1e-107"
"(0.7,0.75]","BADC","Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)/Homer",0.884,"1e-12"
"(0.7,0.75]","BADC","FUS3(ABI3VP1)/col-FUS3-DAP-Seq(GSE60143)/Homer",0.735,"1e-11"
"(0.7,0.75]","BADC","AT5G25475(ABI3VP1)/col-AT5G25475-DAP-Seq(GSE60143)/Homer",0.783,"1e-10"
