Ens_ID	wt_120h_rep1	wt_120h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_wt_96h_rep1	ActA_wt_96h_rep2	wt_96h_rep1	wt_96h_rep2
ENSMUSG00000001964	1814	1340	1222	1167	3699	4254	2910	4247
ENSMUSG00000001983	241	177	154	163	403	457	294	453
ENSMUSG00000001985	192	118	260	271	2454	2627	1199	1932
ENSMUSG00000001986	14	17	56	47	139	160	75	104
ENSMUSG00000001988	0	3	8	6	29	31	12	21
ENSMUSG00000001995	615	490	351	333	1428	1654	562	811
ENSMUSG00000001998	327	282	312	271	570	643	604	691
ENSMUSG00000001999	124	96	94	75	223	242	167	242
ENSMUSG00000002006	120	91	61	56	553	595	206	347
ENSMUSG00000002007	0	0	0	1	0	0	0	0
ENSMUSG00000002010	1634	1214	1362	1278	3298	3503	3029	4105
ENSMUSG00000002012	19	19	15	19	14	29	13	15
ENSMUSG00000002014	1046	813	1236	1294	2223	2728	1702	2594
ENSMUSG00000002015	1227	908	965	968	3115	3494	2230	3245
ENSMUSG00000002017	845	724	577	580	1478	1700	1333	1881
ENSMUSG00000002020	139	91	3	5	7	5	3	10
ENSMUSG00000002028	2060	1442	1583	1474	1702	1699	1617	2072
ENSMUSG00000002031	917	731	730	664	1890	2049	1703	2287
ENSMUSG00000002032	28	39	34	29	30	41	38	38
ENSMUSG00000002033	0	0	1	1	1	4	0	0
ENSMUSG00000002043	644	500	718	706	1194	1345	701	1129
ENSMUSG00000002052	1635	1306	1325	1362	3202	3371	2996	4005
ENSMUSG00000002055	2024	1772	1457	1383	1884	2212	2472	3277
ENSMUSG00000002057	0	0	0	0	1	0	0	2
ENSMUSG00000002058	819	598	770	712	889	1010	1102	1574
ENSMUSG00000002059	1298	1041	1362	1354	1534	1663	1556	2346
ENSMUSG00000002064	624	477	573	585	885	926	477	792
ENSMUSG00000002068	1186	932	681	678	2209	2565	2056	2996
ENSMUSG00000002076	53	33	13	22	40	66	107	187
ENSMUSG00000002083	357	271	315	309	1040	1130	891	1333
ENSMUSG00000002100	1	1	1	1	2	3	0	1
ENSMUSG00000002102	3353	2475	2395	2516	4906	5603	3825	5452
ENSMUSG00000002103	846	660	705	720	1210	1378	1272	1711
ENSMUSG00000002104	1	1	2	2	1	1	1	5
ENSMUSG00000002105	209	164	158	164	276	308	201	300
ENSMUSG00000002107	119	77	99	102	485	578	333	506
ENSMUSG00000002108	40	44	22	22	38	59	60	82
ENSMUSG00000002109	318	290	292	243	465	610	364	475
ENSMUSG00000002111	0	0	1	2	3	7	1	0
ENSMUSG00000002129	3143	2519	2080	2042	6635	7666	7605	10475
ENSMUSG00000002147	41	34	55	54	303	348	130	206
ENSMUSG00000002190	18	14	16	16	32	41	42	66
ENSMUSG00000002204	1	0	0	0	1	5	2	1
ENSMUSG00000002205	458	369	317	321	860	946	770	1063
ENSMUSG00000002210	329	289	350	295	677	788	675	961
ENSMUSG00000002221	1661	1396	1173	1074	2682	2987	3352	4662
ENSMUSG00000002222	1279	1063	1025	1039	3325	3667	2753	3750
ENSMUSG00000002227	301	269	244	247	1854	2114	536	849
ENSMUSG00000002228	20	20	40	44	96	86	13	43
ENSMUSG00000002233	176	137	265	268	743	854	215	341
ENSMUSG00000002240	0	0	0	0	0	0	0	0
ENSMUSG00000002249	365	303	461	420	335	424	274	405
ENSMUSG00000002250	370	335	280	303	746	934	692	957
ENSMUSG00000002257	32	25	35	38	367	408	160	262
ENSMUSG00000002265	11481	8609	14051	13467	17580	19782	6240	8085
ENSMUSG00000002266	65	68	226	205	65	74	14	29
ENSMUSG00000002274	2684	2142	1955	1948	1489	1633	1782	2577
ENSMUSG00000002279	281	223	280	276	575	729	472	695
ENSMUSG00000002280	322	305	281	272	457	524	338	531
ENSMUSG00000002289	19	21	3	3	19	25	22	47
ENSMUSG00000002297	1740	1378	1120	1069	2700	3123	2237	3036
ENSMUSG00000002307	686	611	478	491	1342	1573	1126	1529
ENSMUSG00000002308	955	751	699	774	1223	1408	1092	1836
ENSMUSG00000002319	1821	1673	1372	1335	2688	3130	2868	4027
ENSMUSG00000002320	935	803	812	864	2167	2334	1540	2222
ENSMUSG00000002324	137	105	82	75	381	410	376	622
ENSMUSG00000002325	228	163	190	171	833	959	220	336
ENSMUSG00000002326	563	417	362	292	873	1003	645	940
