"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cuedc21",0.00192239985389741,0.507463378768916,0.761,0.646,1,"18","Cuedc2"
"Sugt11",0.00197374925777236,0.521418019761547,0.851,0.76,1,"18","Sugt1"
"Dppa5a2",0.00198440141627349,1.60569401134985,0.403,0.239,1,"18","Dppa5a"
"Cdkn2a2",0.00204491493981013,1.20727586607925,0.209,0.096,1,"18","Cdkn2a"
"Lyrm4",0.00204692242618547,1.31768934925741,0.239,0.122,1,"18","Lyrm4"
"Ddit44",0.00206515767984814,1.02115825220882,0.582,0.464,1,"18","Ddit4"
"Vps33a",0.00207143763327808,1.18078582726152,0.269,0.142,1,"18","Vps33a"
"Eid2b",0.00207539654061986,1.3820709863055,0.209,0.099,1,"18","Eid2b"
"Slc35d1",0.0021286474149563,1.42553854115546,0.209,0.098,1,"18","Slc35d1"
"Zfp369",0.00219329379396809,1.21089588826559,0.269,0.142,1,"18","Zfp369"
"CAAA01118383.1",0.0022686286261616,1.32046295041036,0.209,0.1,1,"18","CAAA01118383.1"
"Hgs",0.00228625190692512,1.22582369428222,0.328,0.191,1,"18","Hgs"
"Gm52921",0.00229047602511434,0.675559735107216,0.657,0.52,1,"18","Gm5292"
"Miga11",0.00234664696006671,1.19883390290982,0.313,0.18,1,"18","Miga1"
"Map3k20",0.0024649668840545,1.20875995170359,0.328,0.194,1,"18","Map3k20"
"Piezo11",0.00247589118746807,1.63272543315177,0.224,0.11,1,"18","Piezo1"
"Gse12",0.00261250284441932,1.14064777669352,0.388,0.242,1,"18","Gse1"
"Setd7",0.0027182447014521,1.37047895931428,0.299,0.175,1,"18","Setd7"
"Emc7",0.00274459973152037,0.846841722043605,0.552,0.405,1,"18","Emc7"
"Fbxo33",0.00277335679050208,0.726121470670629,0.433,0.263,1,"18","Fbxo3"
"Plin33",0.00277790406058139,0.824916346776929,0.507,0.369,1,"18","Plin3"
"Snx12",0.00277825882465397,0.795166388987349,0.522,0.382,1,"18","Snx12"
"Leo1",0.00278998953586498,0.544324456924412,0.627,0.499,1,"18","Leo1"
"Tomm20",0.00280833605113564,0.672230141654626,0.642,0.548,1,"18","Tomm20"
"Trim64",0.0028315241669471,1.26233729890987,0.224,0.113,1,"18","Trim6"
"Srfbp11",0.00285827074533737,1.01539993631306,0.463,0.317,1,"18","Srfbp1"
"Mrpl47",0.00289770850712357,0.833700994125108,0.463,0.322,1,"18","Mrpl47"
"Atp6v1h1",0.0029649283678258,1.1616831201805,0.343,0.203,1,"18","Atp6v1h"
