p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci	tissue
0.646041908	-0.273675337	0.009	0.012	1	Zfp94	other	Somitic Mesoderm
0.646252629	-0.226582141	0.009	0.012	1	Col9a1	other	Somitic Mesoderm
0.646288075	0.717116001	0.014	0.011	1	Noxo1	other	Somitic Mesoderm
0.646347242	0.059723871	0.014	0.017	1	1700088E04Rik	other	Somitic Mesoderm
0.646407072	0.326212415	0.126	0.122	1	Macrod2	other	Somitic Mesoderm
0.646412823	0.270280259	0.161	0.156	1	Prcc	other	Somitic Mesoderm
0.646422284	-0.004565788	0.349	0.357	1	Ubqln1	other	Somitic Mesoderm
0.646438146	0.097609871	0.241	0.234	1	Rgmb	other	Somitic Mesoderm
0.646463389	-0.115560048	0.009	0.012	1	Gm10401	other	Somitic Mesoderm
0.646563784	-0.052660536	0.457	0.471	1	Mapk6	other	Somitic Mesoderm
0.6466129	0.237632841	0.094	0.088	1	Acp6	other	Somitic Mesoderm
0.647078408	-0.128463675	0.333	0.336	1	Slc16a3	other	Somitic Mesoderm
0.647156198	-0.052726978	0.366	0.379	1	Aldh7a1	other	Somitic Mesoderm
0.647233196	0.335033382	0.094	0.089	1	Mmd	other	Somitic Mesoderm
0.647445934	0.028254864	0.402	0.431	1	Pitpnb	other	Somitic Mesoderm
0.647509389	0.104278292	0.087	0.096	1	H2bc6	other	Somitic Mesoderm
0.647667592	-0.050416002	0.202	0.214	1	Toe1	other	Somitic Mesoderm
0.647702978	0.003014922	0.497	0.514	1	Hipk2	other	Somitic Mesoderm
0.647728512	-0.179194991	0.009	0.012	1	Gm42731	other	Somitic Mesoderm
0.647728512	-0.17248784	0.009	0.012	1	Zfp526	other	Somitic Mesoderm
0.648150511	-0.181662894	0.053	0.059	1	Akap10	other	Somitic Mesoderm
0.648156735	0.441378899	0.03	0.026	1	Slc4a8	other	Somitic Mesoderm
0.648195379	-0.248964543	0.168	0.173	1	Creld2	other	Somitic Mesoderm
0.648306935	-0.008725389	0.032	0.037	1	Ptpn21	other	Somitic Mesoderm
0.648346667	0.708250673	0.014	0.011	1	Gm48532	other	Somitic Mesoderm
0.648400768	0.147060145	0.207	0.202	1	Lypla1	other	Somitic Mesoderm
0.648570274	0.062470332	0.234	0.225	1	Ube2h	other	Somitic Mesoderm
0.648572494	0.020791128	0.009	0.012	1	Arhgap26	other	Somitic Mesoderm
0.648704726	0.192333914	0.211	0.205	1	Spr	other	Somitic Mesoderm
0.648758709	0.635615635	0.014	0.011	1	Gm49268	other	Somitic Mesoderm
0.648916799	0.101909927	0.306	0.293	1	Kif20a	other	Somitic Mesoderm
0.648953142	-0.098570651	0.021	0.024	1	Scarna2	other	Somitic Mesoderm
0.648994654	-0.029751633	0.009	0.012	1	Gm43062	other	Somitic Mesoderm
0.648994654	-0.0268594	0.009	0.012	1	St8sia3	other	Somitic Mesoderm
0.649115394	-0.190864063	0.076	0.082	1	Tmem64	other	Somitic Mesoderm
0.649132444	0.535132942	0.034	0.03	1	Cnp	other	Somitic Mesoderm
0.649170858	0.757154122	0.014	0.011	1	Nkain3	other	Somitic Mesoderm
0.649203301	0.106666116	0.29	0.31	1	Akap11	other	Somitic Mesoderm
0.649416927	0.08406794	0.009	0.012	1	Proser2	other	Somitic Mesoderm
0.649416927	0.171834927	0.009	0.012	1	Glb1l2	other	Somitic Mesoderm
0.649453546	-0.028774218	0.055	0.05	1	Pcdh8	other	Somitic Mesoderm
0.649531718	0.090163622	0.414	0.408	1	Hectd1	other	Somitic Mesoderm
0.649566587	0.326614498	0.028	0.024	1	Lrrc27	other	Somitic Mesoderm
0.649740831	0.471027428	0.039	0.035	1	Ttll1	other	Somitic Mesoderm
0.649817743	0.131107885	0.051	0.045	1	Tmem67	other	Somitic Mesoderm
0.649839312	0.023142702	0.009	0.012	1	Gm16437	other	Somitic Mesoderm
0.649864128	-0.065095909	0.048	0.054	1	Slc16a13	other	Somitic Mesoderm
0.650163255	0.060767115	0.126	0.138	1	Tmem126b	other	Somitic Mesoderm
0.65033867	0.038467494	0.032	0.037	1	9430064I24Rik	other	Somitic Mesoderm
0.650407951	0.674781634	0.014	0.011	1	Nxpe3	other	Somitic Mesoderm
0.650451155	0.156695909	0.051	0.045	1	Neurl1a	other	Somitic Mesoderm
0.650649941	0.067460903	0.198	0.19	1	Zfand1	other	Somitic Mesoderm
0.650684421	0.162925014	0.009	0.012	1	Gm6598	other	Somitic Mesoderm
